filename,xmin,ymin,xmax,ymax,xmin_norm,ymin_norm,xmax_norm,ymax_norm
img_13616.jpg,89,150,129,168,0.397321,0.669643,0.575893,0.75
img_18743.jpg,95,132,158,155,0.424107,0.589286,0.705357,0.691964
img_16008.jpg,89,112,126,122,0.397321,0.5,0.5625,0.544643
img_04418.jpg,92,120,125,139,0.410714,0.535714,0.558036,0.620536
img_19449.jpg,102,138,143,149,0.455357,0.616071,0.638393,0.665179
img_18757.jpg,91,157,119,165,0.40625,0.700893,0.53125,0.736607
img_17464.jpg,120,116,193,141,0.535714,0.517857,0.861607,0.629464
img_13602.jpg,56,104,151,126,0.25,0.464286,0.674107,0.5625
img_07887.jpg,84,139,147,155,0.375,0.620536,0.65625,0.691964
img_19461.jpg,3,116,32,126,0.013393,0.517857,0.142857,0.5625
img_10323.jpg,77,78,199,123,0.34375,0.348214,0.888393,0.549107
img_04356.jpg,28,96,100,111,0.125,0.428571,0.446429,0.495536
img_04430.jpg,82,120,145,134,0.366071,0.535714,0.647321,0.598214
img_16034.jpg,87,188,145,201,0.388393,0.839286,0.647321,0.897321
img_19307.jpg,18,113,149,147,0.080357,0.504464,0.665179,0.65625
img_16020.jpg,82,157,140,170,0.366071,0.700893,0.625,0.758929
img_19313.jpg,85,78,203,117,0.379464,0.348214,0.90625,0.522321
img_04424.jpg,86,136,118,145,0.383929,0.607143,0.526786,0.647321
img_04342.jpg,95,107,129,117,0.424107,0.477679,0.575893,0.522321
img_07893.jpg,141,135,179,146,0.629464,0.602679,0.799107,0.651786
img_19475.jpg,42,105,71,130,0.1875,0.46875,0.316964,0.580357
img_18780.jpg,66,138,114,157,0.294643,0.616071,0.508929,0.700893
img_07878.jpg,90,73,130,84,0.401786,0.325893,0.580357,0.375
img_18958.jpg,141,86,191,99,0.629464,0.383929,0.852679,0.441964
img_13819.jpg,133,124,181,144,0.59375,0.553571,0.808036,0.642857
img_18794.jpg,53,112,80,120,0.236607,0.5,0.357143,0.535714
img_13831.jpg,95,141,133,152,0.424107,0.629464,0.59375,0.678571
img_04395.jpg,89,151,132,162,0.397321,0.674107,0.589286,0.723214
img_18964.jpg,54,106,102,120,0.241071,0.473214,0.455357,0.535714
img_18970.jpg,111,81,186,98,0.495536,0.361607,0.830357,0.4375
img_13825.jpg,86,149,142,160,0.383929,0.665179,0.633929,0.714286
