filename,xmin,ymin,xmax,ymax
img_13616.jpg,241,369,348,417
img_18743.jpg,234,385,418,454
img_16008.jpg,87,244,168,264
img_04418.jpg,166,142,224,176
img_19449.jpg,111,347,213,374
img_18757.jpg,131,483,216,509
img_17464.jpg,215,148,345,192
img_13602.jpg,101,136,270,176
img_07887.jpg,190,265,333,302
img_19461.jpg,16,425,167,479
img_10323.jpg,333,215,856,411
img_04356.jpg,74,132,264,173
img_04430.jpg,147,181,260,206
img_16034.jpg,96,306,190,326
img_19307.jpg,125,494,1005,722
img_16020.jpg,89,255,183,277
img_19313.jpg,213,74,503,170
img_04424.jpg,155,146,211,162
img_04342.jpg,170,112,232,129
img_07893.jpg,384,215,487,246
img_19475.jpg,138,496,274,615
img_18780.jpg,185,469,345,531
img_07878.jpg,134,237,263,271
img_18958.jpg,935,372,1269,463
img_13819.jpg,164,162,226,189
img_18794.jpg,124,542,254,581
img_13831.jpg,93,373,192,401
img_04395.jpg,159,221,237,241
img_18964.jpg,123,115,231,146
img_18970.jpg,952,277,1597,420
img_13825.jpg,95,242,185,260
img_04381.jpg,163,158,234,196
img_13372.jpg,109,140,189,160
img_19139.jpg,392,540,768,662
img_08034.jpg,184,115,411,176
img_17114.jpg,133,305,300,353
img_18541.jpg,342,554,591,627
img_01010.jpg,1524,1948,1911,2191
img_13414.jpg,204,213,282,267
img_04168.jpg,230,129,248,134
img_04168.jpg,189,116,202,121
img_13400.jpg,149,218,267,247
img_18555.jpg,1198,326,1461,468
img_10109.jpg,859,1203,1290,1440
img_01004.jpg,1253,1753,1646,2003
img_01762.jpg,192,513,393,554
img_08020.jpg,209,463,325,487
img_17100.jpg,172,193,252,212
img_13366.jpg,116,118,161,129
img_19105.jpg,228,164,341,201
img_08008.jpg,42,120,146,146
img_17128.jpg,219,316,344,351
img_04632.jpg,71,247,189,274
img_04154.jpg,109,140,189,160
img_13428.jpg,266,169,307,188
img_10121.jpg,1430,1698,1855,1929
img_06743.jpg,108,118,161,129
img_19663.jpg,973,326,1038,348
img_18569.jpg,234,158,449,291
img_10135.jpg,1121,1518,1463,1765
img_06757.jpg,112,155,178,171
img_19677.jpg,162,458,249,486
img_01038.jpg,1246,1465,1421,2496
img_04140.jpg,90,128,137,139
img_04626.jpg,90,201,178,222
img_19111.jpg,498,392,659,441
img_10653.jpg,1,46,702,401
img_15918.jpg,112,91,155,103
img_17869.jpg,301,354,563,433
img_18582.jpg,173,316,498,423
img_19688.jpg,141,429,328,487
img_18596.jpg,136,271,247,303
img_04801.jpg,100,158,162,171
img_15924.jpg,109,256,174,270
img_06780.jpg,97,282,172,299
img_08975.jpg,387,395,592,442
img_04197.jpg,191,147,242,169
img_04183.jpg,42,126,86,137
img_06794.jpg,116,312,188,331
img_01945.jpg,140,157,306,208
img_15930.jpg,95,265,184,284
img_13399.jpg,315,287,407,311
img_01602.jpg,79,155,332,243
img_10069.jpg,314,108,377,144
img_13560.jpg,170,112,232,129
img_13574.jpg,74,132,264,173
img_19059.jpg,1001,284,1294,358
img_19071.jpg,1492,640,1746,715
img_16342.jpg,164,255,900,434
img_12124.jpg,166,101,281,134
img_15893.jpg,97,319,180,335
img_04746.jpg,93,183,168,199
img_04020.jpg,143,164,315,203
img_12642.jpg,177,521,312,552
img_19717.jpg,472,335,831,419
img_19703.jpg,340,235,569,307
img_13548.jpg,177,139,216,159
img_04752.jpg,3,217,70,251
img_15887.jpg,94,221,184,237
img_19065.jpg,650,250,1254,413
img_06810.jpg,104,237,183,256
img_06804.jpg,100,142,172,159
img_15878.jpg,99,367,186,389
img_04785.jpg,140,156,209,176
img_10096.jpg,1210,1583,2010,1943
img_06838.jpg,84,300,182,322
img_04791.jpg,113,162,192,180
img_13762.jpg,146,187,260,213
img_18637.jpg,196,555,378,610
img_01366.jpg,155,92,372,147
img_19529.jpg,300,218,608,337
img_04578.jpg,167,201,238,220
img_18623.jpg,151,276,275,320
img_13776.jpg,144,170,211,202
img_14019.jpg,100,158,162,171
img_10257.jpg,1580,2229,1961,2485
img_19515.jpg,239,650,491,744
img_13986.jpg,83,330,167,352
img_04222.jpg,92,258,199,284
img_04544.jpg,146,187,260,213
img_19273.jpg,152,393,251,423
img_19267.jpg,236,289,363,326
img_00736.jpg,198,373,369,416
img_04550.jpg,324,162,375,175
img_13992.jpg,98,165,172,184
img_04236.jpg,209,217,293,254
img_10243.jpg,884,2121,1428,2559
img_19501.jpg,74,345,438,500
img_13979.jpg,24,185,78,199
img_00905.jpg,1193,2641,1568,2891
img_19298.jpg,272,655,556,741
img_00911.jpg,649,1310,2711,1891
img_18838.jpg,104,464,317,510
img_07918.jpg,144,159,302,202
img_13945.jpg,100,276,182,293
img_18810.jpg,177,525,317,573
img_07930.jpg,108,186,421,262
img_10294.jpg,1290,2071,2153,2440
img_00939.jpg,1121,1071,1468,1176
img_04587.jpg,281,185,393,271
img_04593.jpg,85,196,247,259
img_16197.jpg,241,209,1398,704
img_18804.jpg,189,376,338,414
img_07924.jpg,213,139,332,167
img_10280.jpg,690,1878,1109,2153
img_13789.jpg,149,210,249,239
img_13951.jpg,97,268,180,284
img_11821.jpg,231,82,434,156
img_04592.jpg,98,102,297,191
img_12496.jpg,148,214,380,270
img_13950.jpg,109,77,191,94
img_13788.jpg,229,151,309,178
img_10281.jpg,1215,2521,1621,2828
img_16828.jpg,272,331,482,384
img_07925.jpg,142,253,336,304
img_18805.jpg,185,357,317,391
img_10295.jpg,1226,1229,1589,1418
img_07931.jpg,663,239,887,300
img_18811.jpg,169,523,313,569
img_13944.jpg,108,231,181,247
img_04586.jpg,269,170,317,189
img_00938.jpg,271,1475,1283,2275
img_00910.jpg,299,3398,1868,3766
img_19299.jpg,140,455,322,519
img_07919.jpg,231,122,418,179
img_18839.jpg,341,463,491,541
img_13978.jpg,104,169,171,185
img_00904.jpg,1305,2029,1699,2335
img_18193.jpg,387,395,592,442
img_04551.jpg,112,114,373,239
img_19266.jpg,184,278,281,307
img_19500.jpg,91,289,448,438
img_10242.jpg,1611,2110,1955,2416
img_14024.jpg,79,183,144,203
img_04237.jpg,148,123,201,150
img_13993.jpg,101,151,167,165
img_04223.jpg,146,118,311,170
img_13987.jpg,158,245,220,275
img_19514.jpg,244,617,497,713
img_10256.jpg,1246,1465,1421,2496
img_19272.jpg,86,363,432,459
img_04545.jpg,148,61,257,118
img_16169.jpg,419,169,517,214
img_14018.jpg,86,232,161,248
img_13777.jpg,189,223,328,248
img_18622.jpg,271,280,377,315
img_19528.jpg,31,412,278,528
img_18636.jpg,253,497,414,542
img_13763.jpg,148,61,257,118
img_04579.jpg,86,218,146,235
img_04579.jpg,313,129,358,141
img_06839.jpg,135,223,197,248
img_04790.jpg,128,154,167,162
img_04784.jpg,106,238,158,249
img_03955.jpg,329,219,856,410
img_08800.jpg,124,270,400,331
img_10097.jpg,1077,2170,1963,2630
img_10097.jpg,177,1650,583,1757
img_06805.jpg,69,191,127,205
img_15879.jpg,106,83,150,93
img_06811.jpg,190,274,247,306
img_13549.jpg,132,123,261,160
img_19702.jpg,858,256,1116,320
img_19064.jpg,354,304,1009,482
img_15886.jpg,111,225,173,240
img_04753.jpg,99,135,155,150
img_04747.jpg,79,236,196,260
img_15892.jpg,105,163,182,181
img_19070.jpg,1259,299,1536,372
img_10732.jpg,271,1,502,59
img_10054.jpg,233,225,322,258
img_19716.jpg,1227,243,1607,337
img_01159.jpg,144,166,342,212
img_13575.jpg,196,149,253,169
img_19058.jpg,705,290,1021,363
img_01603.jpg,111,113,258,188
img_13561.jpg,1,74,464,154
img_07514.jpg,164,223,274,247
img_06795.jpg,100,396,207,427
img_04182.jpg,149,218,267,247
img_13398.jpg,7,16,493,256
img_15931.jpg,92,201,186,228
img_15925.jpg,81,175,150,191
img_04196.jpg,204,213,282,267
img_06781.jpg,91,274,184,295
img_18597.jpg,147,232,271,270
img_19689.jpg,160,498,371,577
img_04800.jpg,86,232,161,248
img_15919.jpg,97,269,202,298
img_18583.jpg,174,298,541,412
img_04141.jpg,103,122,155,135
img_19676.jpg,130,447,222,480
img_01039.jpg,1580,2229,1961,2485
img_06756.jpg,89,135,179,155
img_10134.jpg,1249,1916,1405,2054
img_18568.jpg,298,216,530,354
img_19110.jpg,502,349,663,392
img_04627.jpg,98,214,170,230
img_04633.jpg,91,206,182,228
img_17129.jpg,130,169,464,237
img_08009.jpg,98,102,147,132
img_19104.jpg,286,159,394,194
img_19662.jpg,114,665,283,761
img_06742.jpg,103,51,222,120
img_10120.jpg,1184,1086,1442,1302
img_13429.jpg,178,124,273,144
img_04155.jpg,55,270,144,291
img_01005.jpg,794,1392,1200,1439
img_10108.jpg,1089,1629,1463,1844
img_18554.jpg,1127,369,1398,514
img_03612.jpg,328,202,578,252
img_13401.jpg,42,126,86,137
img_13367.jpg,76,372,165,390
img_17101.jpg,14,33,198,131
img_08021.jpg,52,89,401,176
img_17115.jpg,248,378,420,417
img_08035.jpg,155,239,311,285
img_19138.jpg,311,493,686,612
img_13373.jpg,55,270,144,291
img_04169.jpg,195,266,244,282
img_13415.jpg,191,147,242,169
img_01011.jpg,1324,1291,1730,1573
img_18540.jpg,275,550,530,626
img_04380.jpg,52,170,73,182
img_04380.jpg,237,143,271,162
img_13824.jpg,107,115,175,130
img_18971.jpg,809,332,1496,491
img_18965.jpg,394,313,1063,531
img_16790.jpg,268,260,389,302
img_04394.jpg,172,163,437,220
img_13830.jpg,90,285,193,308
img_18795.jpg,128,510,247,549
img_13818.jpg,89,217,165,235
img_18959.jpg,1065,402,1373,495
img_07879.jpg,126,297,244,330
img_18781.jpg,181,459,335,517
img_04425.jpg,156,163,221,198
img_19312.jpg,246,574,625,677
img_16021.jpg,101,261,171,275
img_19474.jpg,82,496,248,602
img_07892.jpg,199,135,352,176
img_04343.jpg,1,74,464,154
img_04357.jpg,196,149,253,169
img_19460.jpg,161,545,575,671
img_07886.jpg,109,145,252,181
img_19306.jpg,265,578,1148,810
img_16035.jpg,107,222,162,238
img_09115.jpg,187,214,336,253
img_00657.jpg,42,129,106,158
img_18018.jpg,124,270,400,331
img_04431.jpg,270,126,321,143
img_04419.jpg,94,56,306,169
img_13603.jpg,142,128,261,157
img_18756.jpg,72,299,191,335
img_19448.jpg,178,353,288,380
img_09897.jpg,192,278,362,325
img_18742.jpg,314,479,800,670
img_07662.jpg,18,141,436,289
img_13617.jpg,295,166,355,185
img_13617.jpg,67,91,95,98
img_16009.jpg,90,89,179,109
img_18754.jpg,361,432,786,568
img_13601.jpg,166,148,233,184
img_12279.jpg,316,260,479,296
img_17315.jpg,345,269,578,328
img_19338.jpg,278,224,455,287
img_13173.jpg,329,219,856,410
img_13615.jpg,286,173,400,211
img_04369.jpg,91,111,163,134
img_18998.jpg,68,453,167,538
img_18740.jpg,267,605,486,688
img_04341.jpg,258,184,321,213
img_19476.jpg,502,352,685,477
img_07890.jpg,166,222,220,236
img_18768.jpg,170,473,314,525
img_00899.jpg,1147,986,1352,1150
img_09103.jpg,94,219,172,236
img_19310.jpg,623,628,1187,768
img_16023.jpg,69,191,127,205
img_04427.jpg,119,131,136,154
